Id,Needs_NSC_Review__c,NSC_Review_Reason__c,Index (for debugging)
003f400000KvxO2AAJ,True,<Not changed>Graduation not confirmed (Attending in NSC): University of California-Santa Cruz (Sep 2015 start),4114
003f400000TlTQyAAN,True,<Changed>New unreported left college: Canada College (Aug 2018 start),1891
003f400000KvxMoAAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),1369
003f400000TlTLbAAN,True,<Changed>New unreported left college: Sacramento City College (Aug 2018 start),2315
003f400000TlTLbAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2020 start),2317
003f400000TlTLbAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2019 start),2316
003f400000KvxYOAAZ,True,<Changed>New unreported left college: Foothill College (Jan 2019 start),365
003f400000KvxWuAAJ,True,<Changed>New unreported left college: Foothill College (Sep 2017 start),998
003f40000169hvDAAQ,True,<Not changed>NSC indicates still attending (currently Withdrew): University of California-Davis (Sep 2019 start currently 01/14/2020 end),2932
003f400000TlTK8AAN,True,<Changed>New unreported left college: College of San Mateo (Aug 2018 start),1027
003f400000KvxVMAAZ,True,<Changed>New unreported left college: De Anza College (Apr 2017 start),4221
003f400000KvxQrAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),483
003f400000KvxM9AAJ,True,<Changed>New unreported left college: College of San Mateo (Aug 2018 start),1478
003f400000KvxM9AAJ,True,<Changed>New unreported left college: Canada College (Jan 2019 start),1477
003f400000KvxfbAAB,True,<Changed>New unreported left college: City College of San Francisco (Jan 2019 start),2441
003f400000KvxfbAAB,True,<Changed>New unreported left college: San Francisco State University (Aug 2017 start),2440
003f400000TlTQPAA3,True,<Changed>New unreported left college: San Jose State University (Aug 2018 start),3229
003f400000TlTOrAAN,True,<Changed>New unreported left college: San Jose State University (Aug 2018 start),2004
003f400000KvxfmAAB,True,<Added>NSC indicates previously unreported enrollment (Graduated):  (Sep 2017 start),2514
003f400000TlTLTAA3,True,<Changed>New unreported left college: Skyline College (Aug 2018 start),2584
003f400000KvxLHAAZ,True,<Not changed>Graduation not confirmed (Attending in NSC): California Institute of Technology (Sep 2017 start),2762
003f400000KvxTZAAZ,True,<Changed>New unreported left college: Foothill College (Jul 2018 start),3271
003f400000Kvxe7AAB,True,<Changed>New unreported left college: Ohlone Community College (Jun 2018 start),2711
003f400000KvxWMAAZ,True,<Changed>New unreported left college: Foothill College (Sep 2017 start),3892
003f400000KvxWSAAZ,True,<Changed>New unreported left college: San Jose City College (Jun 2018 start),1124
003f400000KvxZ2AAJ,True,<Changed>New unreported left college: Foothill College (Jul 2018 start),891
003f400000KvxNOAAZ,True,<Changed>New unreported left college: University of California-San Diego (Oct 2014 start),1143
003f400000KvxNOAAZ,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),1142
003f40000169i0gAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2020 start),912
003f400000KvxYlAAJ,True,<Changed>New unreported left college: West Valley College (May 2018 start),904
003f400000KvxUuAAJ,True,<Changed>New unreported left college: De Anza College (Jan 2018 start),1524
003f400000KvxRCAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Aug 2015 start),1944
003f400000KvxTKAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2017 start),1472
003f400000KvxNqAAJ,True,<Changed>New unreported left college: Cabrillo College (Jan 2019 start),2708
003f400000KvxORAAZ,True,<Changed>New unreported left college: Skyline College (Jun 2018 start),2227
003f400000KvxMAAAZ,True,<Not changed>NSC indicates still attending (currently Withdrew): Canada College (Aug 2020 start currently 08/27/2020 end),820
003f400000TlTLxAAN,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2018 start),1091
003f400000KvxYAAAZ,True,<Changed>New unreported left college: Modesto Junior College (Jan 2019 start),3139
003f400000KvxXDAAZ,True,<Changed>New unreported left college: Modesto Junior College (Jan 2019 start),2040
003f400000KvxRwAAJ,True,<Changed>New unreported left college: Boston University (May 2019 start),2266
003f400000KvxLdAAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),2403
003f400000KvxLdAAJ,True,<Changed>New unreported left college: Skyline College (Jan 2019 start),2401
003f400000KvxLdAAJ,True,<Changed>New unreported left college: Mission College (Jan 2019 start),2397
003f400000TlTMVAA3,True,<Changed>New unreported left college: Ohlone Community College (Aug 2018 start),1652
003f400000KvxVkAAJ,True,<Changed>New unreported left college: De Anza College (Sep 2018 start),2117
003f400000KvxVkAAJ,True,<Changed>New unreported left college: Mission College (May 2018 start),2116
003f400000KvxXmAAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),1813
003f400000KvxTQAAZ,True,<Changed>New unreported left college: Canada College (Jan 2019 start),2896
003f400000KvxdAAAR,True,<Changed>New unreported left college: Fresno City College (Aug 2018 start),3816
003f400000KvxKdAAJ,True,<Changed>New unreported left college: Canada College (Jan 2018 start),2155
003f400000KvxXCAAZ,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),1324
003f400000TlTSWAA3,True,<Not changed>NSC indicates still attending (currently Withdrew): Canada College (Aug 2020 start currently 09/24/2020 end),736
003f400000KvxduAAB,True,<Added>NSC indicates previously unreported enrollment (Graduated):  (Sep 2017 start),129
003f400000TlTPbAAN,True,<Changed>New unreported left college: De Anza College (Apr 2019 start),3071
003f400000TlTKUAA3,True,<Changed>New unreported left college: University of California-Santa Barbara (Sep 2018 start),587
003f400000KvxUnAAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2018 start),154
003f400000KvxYUAAZ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),1190
003f400000KvxPOAAZ,True,<Changed>New unreported left college: Foothill College (Apr 2019 start),2930
003f400000TlTMcAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start),1767
003f400000TlTMcAAN,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2018 start),1766
003f40000169hqSAAQ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2019 start),2050
003f400000KvxSXAAZ,True,<Changed>New unreported left college: College of San Mateo (Jan 2018 start),2901
003f400000KvxSXAAZ,True,<Changed>New unreported left college: Canada College (Jan 2019 start),2899
003f400000KvxYfAAJ,True,<Changed>New unreported left college: San Francisco State University (Aug 2017 start),3307
003f40000169uESAAY,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2019 start),868
003f400000OdnFdAAJ,True,<Changed>New unreported left college: Notre Dame de Namur University (Aug 2018 start),2175
003f400000OdnFdAAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2019 start),2174
003f400000KvxOyAAJ,True,<Changed>New unreported left college: University of California-Santa Cruz (Mar 2016 start),1820
003f400000KvxdEAAR,True,<Changed>New unreported left college: Arizona State University (Aug 2017 start),2673
003f400000KvxZ1AAJ,True,<Changed>New unreported left college: College of San Mateo (Jan 2019 start),1273
003f400000TlTM8AAN,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2018 start),2320
003f400000KvxWRAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2017 start),3508
003f400001Xsrx8AAB,True,<Not changed>NSC indicates still attending (currently Withdrew): University of Missouri-Columbia (Aug 2020 start currently 09/11/2020 end),870
003f400000Kvxd5AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start),4116
003f400000Kvxd5AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2017 start),4115
003f400000KvxYDAAZ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),1417
003f400000TlTQnAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2019 start),294
003f40000169hvwAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start),2263
003f400000Kvxg5AAB,True,<Changed>New unreported left college: San Jose State University (Aug 2017 start),4012
003f400000KvxK9AAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),2458
003f40000169hqnAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),192
003f400000KvxesAAB,True,<Not changed>NSC indicates still attending (currently Withdrew): Academy of Art University (Feb 2020 start currently 09/09/2020 end),531
003f400000KvxesAAB,True,<Changed>New unreported left college: Clark Atlanta University (Aug 2017 start),532
003f400000KvxOWAAZ,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),523
003f400000KvxU5AAJ,True,<Changed>New unreported left college: De Anza College (Sep 2018 start),1029
003f400000KvxU5AAJ,True,<Changed>New unreported left college: Foothill College (Sep 2016 start),1028
003f400000KvxR4AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2015 start),1331
003f400000KvxLqAAJ,True,<Changed>New unreported left college: Santa Barbara City College (Jan 2015 start),3503
003f400000KvxPkAAJ,True,<Changed>New unreported left college: Gavilan College (Aug 2018 start),1500
003f400000KvxdYAAR,True,<Changed>New unreported left college: University of California-Irvine (Sep 2017 start),2542
003f400000KvxgNAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2020 start),3022
003f400000KvxVLAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),90
003f400000KvxQRAAZ,True,<Added>NSC indicates previously unreported enrollment (Graduated):  (Aug 2015 start),3405
003f400000KvxQRAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start),3406
003f400000TlTSZAA3,True,<Changed>New unreported left college: Sacramento City College (Aug 2018 start),1033
003f400000KvxSEAAZ,True,<Changed>New unreported left college: Mission College (Jan 2018 start),3562
003f400000KvxSEAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),3565
003f400000KvxSEAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2015 start),3564
003f400000TlTMpAAN,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),3624
003f400000KvxfPAAR,True,<Changed>New unreported left college: California State University-Northridge (Aug 2017 start),1127
003f400000KvxfPAAR,True,<Changed>New unreported left college: College of San Mateo (Jun 2018 start),1126
003f400000KvxXoAAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),317
003f400000KvxXoAAJ,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),316
003f400000Kvxg4AAB,True,<Changed>New unreported left college: California State University-Sacramento (Aug 2018 start),526
N/A,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start),1102
N/A,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),753
N/A,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start),752
003f400000KvxVUAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2017 start),935
003f400000KvxNcAAJ,True,<Changed>New unreported left college: Skyline College (Jan 2019 start),3462
003f400000KvxNcAAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),3460
