Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Perfect Match,003f400000KvxdxAAB,001f400000LvhyrAAB,2017-09-25,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1465,003f400000KvxdxAAB,001f400000LvhyrAAB,2017-09-25,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n6mfAAA,,,365
Perfect Match,003f400000TlTPQAA3,001f400000LvhPPAAZ,2018-09-27,,2018-11-28,Attending,Bachelor's,NSC,,,2839,003f400000TlTPQAA3,001f400000LvhPPAAZ,2018-09-27,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli3rAAB,,,2565
Perfect Match,003f400000KvxLuAAJ,001f400000Lvi0FAAR,2016-08-29,2017-02-14,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,572,003f400000KvxLuAAJ,001f400000Lvi0FAAR,2016-08-29,2017-02-14,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7N6AAI,,,1989
Perfect Match,003f400000KvxLuAAJ,001f400000Lvi0FAAR,2015-02-16,2015-12-22,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,571,003f400000KvxLuAAJ,001f400000Lvi0FAAR,2015-02-16,2015-12-22,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7N5AAI,,,1988
Perfect Match,003f400000KvxLuAAJ,001f400000LvheAAAR,2016-01-19,2017-01-06,2018-11-28,Transferred out,Bachelor's,NSC,,,570,003f400000KvxLuAAJ,001f400000LvheAAAR,2016-01-19,2017-01-06,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n7N8AAI,,,1991
Perfect Match,003f400000KvxLuAAJ,001f400000Lvhz1AAB,2017-04-10,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,569,003f400000KvxLuAAJ,001f400000Lvhz1AAB,2017-04-10,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7N4AAI,,,1987
Perfect Match,003f400000KvxLuAAJ,001f400000LvhdwAAB,2017-08-25,,2018-11-28,Attending,Bachelor's,NSC,,,568,003f400000KvxLuAAJ,001f400000LvhdwAAB,2017-08-25,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7N7AAI,,,1990
Perfect Match,003f400000KvxLuAAJ,001f400000LvhyrAAB,2017-04-10,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,567,003f400000KvxLuAAJ,001f400000LvhyrAAB,2017-04-10,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7N9AAI,,,1992
Perfect Match,003f400000KvxgPAAR,001f400000LvhQeAAJ,2017-09-18,,2018-11-28,Attending,Bachelor's,NSC,,,2332,003f400000KvxgPAAR,001f400000LvhQeAAJ,2017-09-18,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6v2AAA,,,718
Perfect Match,003f400000KvxZ5AAJ,001f400000LvheAAAR,2018-08-29,,2018-11-28,Attending,Bachelor's,NSC,,,2649,003f400000KvxZ5AAJ,001f400000LvheAAAR,2018-08-29,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli6PAAR,,,2723
Perfect Match,003f400000KvxZ5AAJ,001f400000LvhPSAAZ,2017-09-23,2018-06-15,2018-11-28,Transferred out,Bachelor's,NSC,,,2648,003f400000KvxZ5AAJ,001f400000LvhPSAAZ,2017-09-23,2018-06-15,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n6p1AAA,,,462
Perfect Match,003f400000TlTPSAA3,001f400000LvlNKAAZ,2018-08-22,,2018-11-28,Attending,Bachelor's,NSC,,,2557,003f400000TlTPSAA3,001f400000LvlNKAAZ,2018-08-22,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli7vAAB,,,2817
Perfect Match,003f400000TlTRWAA3,001f400000LvhdBAAR,2018-09-12,,2018-11-28,Attending,Bachelor's,NSC,,,1310,003f400000TlTRWAA3,001f400000LvhdBAAR,2018-09-12,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli16AAB,,,2394
Perfect Match,003f400000KvxOdAAJ,001f400000LvhyZAAR,2015-08-17,2016-05-19,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1860,003f400000KvxOdAAJ,001f400000LvhyZAAR,2015-08-17,2016-05-19,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6j6AAA,,,194
Perfect Match,003f400000KvxToAAJ,001f400000LvhQBAAZ,2016-08-29,2018-05-03,2018-11-28,Withdrew,Bachelor's,NSC,,,10,003f400000KvxToAAJ,001f400000LvhQBAAZ,2016-08-29,2018-05-03,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6wlAAA,,,784
Perfect Match,003f400000KvxTJAAZ,001f400000LvhPKAAZ,2016-05-31,,2018-11-28,Attending,Bachelor's,NSC,,,2383,003f400000KvxTJAAZ,001f400000LvhPKAAZ,2016-05-31,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n77RAAQ,,,1299
Perfect Match,003f400000KvxH5AAJ,001f400000LvhQiAAJ,2012-08-21,2016-05-21,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION STUDIES,2902,003f400000KvxH5AAJ,001f400000LvhQiAAJ,2012-08-21,2016-05-21,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION STUDIES,a02f4000006n7GRAAY,,,1713
Perfect Match,003f400000KvxOkAAJ,001f400000LvhPSAAZ,2018-09-22,,2018-11-28,Attending,Bachelor's,NSC,,,2004,003f400000KvxOkAAJ,001f400000LvhPSAAZ,2018-09-22,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli6cAAB,,,2736
Perfect Match,003f400000KvxOkAAJ,001f400000LvhPSAAZ,2015-09-19,2017-12-15,2018-11-28,Transferred out,Bachelor's,NSC,,,2003,003f400000KvxOkAAJ,001f400000LvhPSAAZ,2015-09-19,2017-12-15,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n74gAAA,,,1164
Perfect Match,003f400000KvxOkAAJ,001f400000Lvhz1AAB,2018-01-08,2018-06-29,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,2002,003f400000KvxOkAAJ,001f400000Lvhz1AAB,2018-01-08,2018-06-29,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f400000Bli6dAAB,,,2737
Perfect Match,003f400000KvxTUAAZ,001f400000LvhyZAAR,2016-08-17,2018-05-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,311,003f400000KvxTUAAZ,001f400000LvhyZAAR,2016-08-17,2018-05-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n75aAAA,,,1199
Perfect Match,003f400000KvxOhAAJ,001f400000LvhyXAAR,2015-08-31,2016-12-17,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2790,003f400000KvxOhAAJ,001f400000LvhyXAAR,2015-08-31,2016-12-17,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6nMAAQ,,,397
Perfect Match,003f400000KvxHoAAJ,001f400000LvhQWAAZ,2012-08-27,2013-05-24,2018-11-28,Withdrew,Bachelor's,NSC,,,1290,003f400000KvxHoAAJ,001f400000LvhQWAAZ,2012-08-27,2013-05-24,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6s5AAA,,,589
Perfect Match,003f400000KvxP8AAJ,001f400000LvhQBAAZ,2015-09-02,2017-05-04,2018-11-28,Transferred out,Bachelor's,NSC,,,517,003f400000KvxP8AAJ,001f400000LvhQBAAZ,2015-09-02,2017-05-04,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n7AKAAY,,,1424
Perfect Match,003f400000KvxP8AAJ,001f400000LvhyZAAR,2017-08-16,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,516,003f400000KvxP8AAJ,001f400000LvhyZAAR,2017-08-16,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n7AJAAY,,,1423
Perfect Match,003f400000KvxJtAAJ,001f400000LvhPMAAZ,2013-09-25,2017-03-24,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MANAGERIAL ECONOMICS,1810,003f400000KvxJtAAJ,001f400000LvhPMAAZ,2013-09-25,2017-03-24,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MANAGERIAL ECONOMICS,a02f4000006n6jxAAA,,,241
Perfect Match,003f400000KvxeBAAR,001f400000Lvi06AAB,2018-09-04,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1021,003f400000KvxeBAAR,001f400000Lvi06AAB,2018-09-04,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli5FAAR,,,2651
Unreported left college (was Attending),003f400000KvxeBAAR,001f400000LvhyxAAB,2017-09-05,2018-05-25,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1020,003f400000KvxeBAAR,001f400000LvhyxAAB,2017-09-05,,2017-08-19,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n70mAAA,,,980
Perfect Match,003f400000KvxetAAB,001f400000LvhaYAAR,2017-09-05,,2018-11-28,Attending,Bachelor's,NSC,,,1314,003f400000KvxetAAB,001f400000LvhaYAAR,2017-09-05,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7O0AAI,,,2024
Perfect Match,003f400000KvxNrAAJ,001f400000LvhyZAAR,2015-08-17,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1320,003f400000KvxNrAAJ,001f400000LvhyZAAR,2015-08-17,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n7FLAAY,,,1660
Perfect Match,003f400000TlTR3AAN,001f400000LvhQBAAZ,2018-08-27,,2018-11-28,Attending,Bachelor's,NSC,,,2845,003f400000TlTR3AAN,001f400000LvhQBAAZ,2018-08-27,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli7IAAR,,,2778
Perfect Match,003f400000KvxJUAAZ,001f400000LvhPCAAZ,2013-08-26,2014-05-16,2018-11-28,Transferred out,Bachelor's,NSC,,,1708,003f400000KvxJUAAZ,001f400000LvhPCAAZ,2013-08-26,2014-05-16,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n7O4AAI,,,2028
Perfect Match,003f400000KvxJUAAZ,001f400000LvhyWAAR,2016-01-25,2016-02-18,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1707,003f400000KvxJUAAZ,001f400000LvhyWAAR,2016-01-25,2016-02-18,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7O3AAI,,,2027
Perfect Match,003f400000KvxJUAAZ,001f400000LvhyWAAR,2014-08-25,2015-05-29,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1706,003f400000KvxJUAAZ,001f400000LvhyWAAR,2014-08-25,2015-05-29,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7O2AAI,,,2026
Perfect Match,003f400000KvxJUAAZ,001f400000Lvhz1AAB,2016-09-26,2017-06-30,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1705,003f400000KvxJUAAZ,001f400000Lvhz1AAB,2016-09-26,2017-06-30,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7O5AAI,,,2029
Perfect Match,003f400000KvxPPAAZ,001f400000Lvi0MAAR,2017-08-16,2017-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2327,003f400000KvxPPAAZ,001f400000Lvi0MAAR,2017-08-16,2017-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n75ZAAQ,,,1198
Perfect Match,003f400000KvxIyAAJ,001f400000Lvi07AAB,2014-06-16,2014-08-26,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,2881,003f400000KvxIyAAJ,001f400000Lvi07AAB,2014-06-16,2014-08-26,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6tvAAA,,,673
Perfect Match,003f400000KvxIyAAJ,001f400000LvhpTAAR,2013-09-25,2017-08-18,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS (PSYCHOLOGY),PSYCHOLOGY,2880,003f400000KvxIyAAJ,001f400000LvhpTAAR,2013-09-25,2017-08-18,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS (PSYCHOLOGY),PSYCHOLOGY,a02f4000006n6tuAAA,,,672
Perfect Match,003f400000KvxfPAAR,001f400000Lvi07AAB,2018-06-11,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,2409,003f400000KvxfPAAR,001f400000Lvi07AAB,2018-06-11,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli0VAAR,,,2357
Perfect Match,003f400000KvxfPAAR,001f400000LvhPJAAZ,2017-08-28,,2018-11-28,Attending,Bachelor's,NSC,,,2408,003f400000KvxfPAAR,001f400000LvhPJAAZ,2017-08-28,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6fcAAA,,,39
Perfect Match,003f400000KvxXYAAZ,001f400000Lvi0MAAR,2017-08-16,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1964,003f400000KvxXYAAZ,001f400000Lvi0MAAR,2017-08-16,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n778AAA,,,1280
